image_path,image_name,annotation_name,set,base_name,Label
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041000_temp.jpg,00041000_temp.jpg,No Annotation,train,00041000_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041000_test.jpg,00041000_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041000.txt,train,00041000_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041001_test.jpg,00041001_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041001.txt,train,00041001_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041002_temp.jpg,00041002_temp.jpg,No Annotation,train,00041002_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041003_temp.jpg,00041003_temp.jpg,No Annotation,train,00041003_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041003_test.jpg,00041003_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041003.txt,train,00041003_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041004_temp.jpg,00041004_temp.jpg,No Annotation,train,00041004_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041004_test.jpg,00041004_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041004.txt,train,00041004_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041005_temp.jpg,00041005_temp.jpg,No Annotation,train,00041005_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041005_test.jpg,00041005_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041005.txt,train,00041005_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041007_temp.jpg,00041007_temp.jpg,No Annotation,train,00041007_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041007_test.jpg,00041007_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041007.txt,train,00041007_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041008_temp.jpg,00041008_temp.jpg,No Annotation,train,00041008_temp,0
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041008_test.jpg,00041008_test.jpg,D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\Annotations\00041008.txt,train,00041008_test,1
D:\Jobs_after_GRAD\courses\Grad_project_DEPI\DeepPCB_dataset\PCBData\Prepared_data\primary_data\train\00041009_temp.jpg,00041009_temp.jpg,No Annotation,train,00041009_temp,0
